D:\_gulevlab\SkyImagesAnalysis\_DBGbin\IncomingImages\img-2015-06-12T17-09-18devID1.jpg;67609;73913,2738
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\IncomingImages\img-2015-06-12T17-09-18devID1.jpg;70664;77095,6942
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\IncomingImages\img-2015-06-12T17-09-18devID1.jpg;63356;69467,2453
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\IncomingImages\img-2015-06-12T17-09-18devID1.jpg;69621;75598,0846
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\IncomingImages\img-2015-06-12T17-09-18devID1.jpg;69700;76144,0881
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\IncomingImages\img-2015-06-12T17-09-18devID1.jpg;69958;76003,6872
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\IncomingImages\img-2015-06-12T17-09-18devID1.zip;106;31,2002
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\IncomingImages\img-2015-06-12T17-09-18devID1.zip;53;46,8003
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\IncomingImages\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;213795;71822,8604
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;64650;72618,4655
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;63860;71729,2598
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;63884;71838,4605
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;64046;71744,8599
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;61483;69155,2433
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;61910;69186,4435
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;60706;67985,2358
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;61035;68000,8359
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;65192;72119,2623
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2015-06-12T17-09-18devID1\img-2015-06-12T17-09-18devID1.jpg;64099;71292,457
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2016-01-18T15-31-20devID2\img-2016-01-18T15-31-20devID2.jpg;65208;71963,2613
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2016-01-14T16-01-19devID2\img-2016-01-14T16-01-19devID2.jpg;68423;74818,0796
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2016-01-14T17-19-06devID2\img-2016-01-14T17-19-06devID2.jpg;65858;72181,6627
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\ImageStatsCalculatorServer_IncomingDirectory\img-2016-01-14T12-37-30devID1\img-2016-01-14T12-37-30devID1.jpg;76794;84989,3448
