D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-32-59devID2.jpg;77853;217309,393
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-33-29devID1.jpg;77277;226591,4525
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-33-29devID2.jpg;75148;221849,0221
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-33-59devID1.jpg;79122;231692,6852
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-33-59devID2.jpg;71770;210694,9506
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-34-29devID1.jpg;77852;226903,4545
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-34-29devID2.jpg;73828;213518,5687
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-35-00devID1.jpg;77066;227558,6587
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-35-00devID2.jpg;73800;215842,9836
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-35-30devID1.jpg;77283;225359,0446
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-35-30devID2.jpg;71888;210024,1463
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-36-00devID1.jpg;78265;229555,4715
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-36-00devID2.jpg;71681;208916,5392
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-36-30devID1.jpg;79305;229415,0706
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-36-30devID2.jpg;77808;227979,8614
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-37-00devID1.jpg;78789;230881,48
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-37-00devID2.jpg;70794;207590,5307
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-37-30devID1.jpg;76134;221693,0211
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-32-59devID2.jpg;6416;24866,5594
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-33-29devID1.jpg;6404;23758,9523
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-33-29devID2.jpg;6279;22807,3462
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-33-59devID1.jpg;6179;23041,3477
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-33-59devID2.jpg;5997;22370,5434
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-34-29devID1.jpg;6119;21138,1355
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-34-29devID2.jpg;6308;22932,147
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-35-00devID1.jpg;6290;22916,5469
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-35-00devID2.jpg;6220;22542,1445
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-35-30devID1.jpg;6249;22261,3427
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-35-30devID2.jpg;6227;22557,7446
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-36-00devID1.jpg;6231;21918,1405
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-36-00devID2.jpg;5957;21699,7391
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-36-30devID1.jpg;6196;22370,5434
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-36-30devID2.jpg;6166;21762,1395
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-37-00devID1.jpg;6336;24039,7541
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-37-00devID2.jpg;5957;21574,9383
D:\_gulevlab\SkyImagesAnalysis\_DBGbin\snapshots\img-2016-01-14T12-37-30devID1.jpg;6190;22604,5449
